Abiotrophia defectiva
Acholeplasma laidlawii
Acholeplasma oculi
Achromobacter aegrifaciens
Achromobacter animicus
Achromobacter anxifer
Achromobacter denitrificans
Achromobacter dolens
Achromobacter insolitus
Achromobacter insuavis
Achromobacter marplatensis
Achromobacter mucicolens
Achromobacter piechaudii
Achromobacter pulmonis
Achromobacter ruhlandii
Achromobacter spanius
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus intestini
Acinetobacter baumannii
Acinetobacter baylyi
Acinetobacter beijerinckii
Acinetobacter bereziniae
Acinetobacter calcoaceticus
Acinetobacter guillouiae
Acinetobacter gyllenbergii
Acinetobacter haemolyticus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acinetobacter nosocomialis
Acinetobacter parvus
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter schindleri
Acinetobacter seifertii
Acinetobacter septicus
Acinetobacter ursingii
Acinetobacter variabilis
Actinobacillus equuli
Actinobacillus hominis
Actinobacillus lignieresii
Actinobacillus pleuropneumoniae
Actinobacillus suis
Actinobacillus ureae
Actinobaculum massiliense
Actinobaculum schaalii
Actinobaculum urinale
Actinomadura madurae
Actinomadura meyerae
Actinomadura pelletieri
Actinomadura sputi
Actinomyces bovis
Actinomyces cardiffensis
Actinomyces dentalis
Actinomyces denticolens
Actinomyces europaeus
Actinomyces funkei
Actinomyces georgiae
Actinomyces gerencseriae
Actinomyces graevenitzii
Actinomyces hominis
Actinomyces hongkongensis
Actinomyces israelii
Actinomyces johnsonii
Actinomyces massiliensis
Actinomyces meyeri
Actinomyces naeslundii
Actinomyces nasicola
Actinomyces neuii
Actinomyces odontolyticus
Actinomyces oricola
Actinomyces oris
Actinomyces radicidentis
Actinomyces radingae
Actinomyces timonensis
Actinomyces turicensis
Actinomyces urogenitalis
Actinomyces viscosus
Actinotignum sanguinis
Adlercreutzia equolifaciens
Aerococcus christensenii
Aerococcus sanguinicola
Aerococcus urinae
Aerococcus urinaehominis
Aerococcus viridans
Aeromonas allosaccharophila
Aeromonas aquariorum
Aeromonas bestiarum
Aeromonas caviae
Aeromonas diversa
Aeromonas encheleia
Aeromonas enteropelogenes
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas salmonicida
Aeromonas sanarellii
Aeromonas schubertii
Aeromonas sobria
Aeromonas taiwanensis
Aeromonas tecta
Aeromonas veronii
Afipia broomeae
Afipia clevelandensis
Afipia felis
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Aggregatibacter segnis
Agrobacterium tumefaciens
Agrococcus baldri
Alcaligenes faecalis
Alcaligenes xylosoxidans
Alishewanella fetalis
Alistipes finegoldii
Alistipes indistinctus
Alistipes onderdonkii
Alistipes putredinis
Alistipes shahii
Alistipes timonensis
Alloiococcus otitis
Allomonas enterica
Alloprevotella rava
Alloscardovia omnicolens
Alphapapillomavirus 5
Amycolatopsis benzoatilytica
Amycolatopsis orientalis
Amycolatopsis palatopharyngis
Anaerobiospirillum succiniciproducens
Anaerobiospirillum thomasii
Anaerococcus hydrogenalis
Anaerococcus lactolyticus
Anaerococcus murdochii
Anaerococcus octavius
Anaerococcus prevotii
Anaerococcus senegalensis
Anaerococcus tetradius
Anaerococcus vaginalis
Anaerofustis stercorihominis
Anaeroglobus geminatus
Anaerorhabdus furcosa
Anaerostipes caccae
Anaerostipes hadrus
Anaerostipes rhamnosivorans
Anaerotruncus colihominis
Anaplasma ovis
Anaplasma phagocytophilum
Anaplasma platys
Aquimonas voraii
Arcanobacterium bernardiae
Arcanobacterium haemolyticum
Arcanobacterium pyogenes
Arcobacter butzleri
Arcobacter cryaerophilus
Arcobacter skirrowii
Arthrobacter agilis
Arthrobacter creatinolyticus
Arthrobacter luteolus
Arthrobacter mysorens
Arthrobacter oxydans
Arthrobacter sanguinis
Arthrobacter woluwensis
Asaia bogorensis
Asaia lannensis
Atopobium deltae
Atopobium minutum
Atopobium parvulum
Atopobium rimae
Atopobium vaginae
Aureimonas altamirensis
Auritidibacter ignavus
Australian bat
Avibacterium volantium
Azospirillum
Azospirillum brasilense
Babesia
Bacillus anthracis
Bacillus badius
Bacillus cereus
Bacillus circulans
Bacillus coagulans
Bacillus cytotoxicus
Bacillus idriensis
Bacillus infantis
Bacillus licheniformis
Bacillus mycoides
Bacillus oleronius
Bacillus pumilus
Bacillus subtilis
Bacillus thuringiensis
Bacteroides caccae
Bacteroides cellulosilyticus
Bacteroides clarus
Bacteroides coprocola
Bacteroides coprophilus
Bacteroides dorei
Bacteroides eggerthii
Bacteroides faecis
Bacteroides finegoldii
Bacteroides fluxus
Bacteroides fragilis
Bacteroides galacturonicus
Bacteroides goldsteinii
Bacteroides intestinalis
Bacteroides massiliensis
Bacteroides nordii
Bacteroides oleiciplenus
Bacteroides ovatus
Bacteroides plebeius
Bacteroides pyogenes
Bacteroides salyersiae
Bacteroides splanchnicus
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides ureolyticus
Bacteroides vulgatus
Bacteroides xylanisolvens
Balneatrix alpica
Barnesiella intestinihominis
Bartonella alsatica
Bartonella ancashensis
Bartonella bacilliformis
Bartonella clarridgeiae
Bartonella elizabethae
Bartonella grahamii
Bartonella henselae
Bartonella koehlerae
Bartonella melophagi
Bartonella quintana
Bartonella rochalimae
Bartonella tamiae
Bartonella vinsonii
Bartonella washoensis
Beneckea alginolytica
Beneckea parahaemolytica
Bergeyella zoohelcum
Bifidobacterium adolescentis
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium catenulatum
