1-nanopore- sum,A1,C1,G1,T1,N1,GAP1,2-Illumina- sum,A2,C2,G2,T2,N2,GAP2
1871,1823,2,0,46,0,0,1476,361,401,61,652,1,0
1871,0,47,3,1821,0,0,1476,273,299,66,838,0,0
1871,1,1822,47,1,0,0,1476,318,392,43,723,0,0
1871,2,0,0,1869,0,0,1476,170,569,254,483,0,0
1871,46,2,1805,18,0,0,1476,228,353,613,281,1,0
1871,0,47,0,1824,0,0,1476,597,253,170,455,1,0
1871,3,1,45,1822,0,0,1476,348,321,126,680,1,0
1871,2,1821,0,48,0,0,1476,338,715,49,371,3,0
1871,2,2,46,1821,0,0,1476,196,464,74,740,2,0
1871,4,1818,47,2,0,0,1476,158,721,89,507,1,0
1871,1,48,0,1822,0,0,1476,197,267,57,954,1,0
1871,1823,0,0,48,0,0,1476,284,338,190,663,1,0
1871,1821,1,2,47,0,0,1476,260,289,505,421,1,0
1871,1822,3,0,46,0,0,1476,450,204,195,626,1,0
1871,1,1824,46,0,0,0,1476,607,265,259,344,1,0
1871,1,2,1866,2,0,0,1476,460,247,558,210,1,0
1871,1870,0,0,1,0,0,1476,748,236,172,319,1,0
1871,1821,1,49,0,0,0,1476,396,421,154,504,1,0
1871,46,1822,2,1,0,0,1476,322,672,76,405,1,0
1871,3,45,0,1823,0,0,1476,277,242,214,741,2,0
1871,3,0,1,1867,0,0,1476,241,218,549,465,3,0
1871,3,47,0,1821,0,0,1476,189,217,160,907,3,0
1871,1822,48,0,1,0,0,1476,411,283,96,683,3,0
1871,1824,1,45,1,0,0,1476,341,548,134,450,3,0
1871,1824,1,0,46,0,0,1476,363,439,66,604,4,0
1871,1824,1,46,0,0,0,1476,326,630,72,443,5,0
1871,0,2,45,1824,0,0,1476,354,358,49,710,5,0
1871,45,1824,0,2,0,0,1476,709,329,34,399,5,0
1871,2,1,45,1823,0,0,1476,741,222,125,383,5,0
1871,3,1,1866,1,0,0,1476,681,325,174,291,5,0
1871,46,3,1,1821,0,0,1476,388,541,185,357,5,0
1871,2,2,1866,1,0,0,1476,439,319,522,191,5,0
1871,3,0,45,1823,0,0,1476,663,265,162,381,5,0
1871,3,1,1821,46,0,0,1476,581,416,240,234,5,0
1871,1,47,1822,1,0,0,1476,292,515,190,474,5,0
1871,0,1823,0,48,0,0,1476,317,332,49,773,5,0
1871,0,0,2,1869,0,0,1476,222,207,108,935,4,0
1871,46,0,1822,3,0,0,1476,367,136,159,809,5,0
1871,1,2,2,1866,0,0,1476,626,151,126,568,5,0
1871,0,1868,2,1,0,0,1476,705,260,143,363,5,0
1871,1869,0,0,2,0,0,1476,960,147,117,247,5,0
1871,0,1822,46,3,0,0,1476,803,189,175,304,5,0
1871,47,2,0,1822,0,0,1476,423,285,91,672,5,0
1871,2,1821,45,3,0,0,1476,193,591,92,594,6,0
1871,3,3,1864,1,0,0,1476,118,294,303,755,6,0
1871,1,45,1822,3,0,0,1476,83,167,536,682,8,0
1871,46,1821,1,3,0,0,1476,166,299,356,640,15,0
1871,0,45,3,1823,0,0,1476,183,86,539,651,17,0
1871,0,1,1866,4,0,0,1476,241,98,447,672,18,0
1871,2,1820,0,49,0,0,1476,248,176,706,327,19,0
1871,1821,46,3,1,0,0,1476,284,227,574,372,19,0
1871,48,1,0,1822,0,0,1476,148,609,239,461,19,0
1871,45,0,1823,3,0,0,1476,95,258,471,631,21,0
1871,1,1868,0,2,0,0,1476,192,273,568,422,21,0
1871,46,0,1,1824,0,0,1476,196,229,216,814,21,0
1871,2,0,3,1866,0,0,1476,313,555,201,387,20,0
1871,1821,48,0,2,0,0,1476,598,376,91,391,20,0
1871,1,0,1822,48,0,0,1476,215,578,309,354,20,0
1871,1,3,1,1866,0,0,1476,186,362,163,745,20,0
1871,47,0,1821,3,0,0,1476,213,634,325,285,19,0
1871,46,1825,0,0,0,0,1476,188,413,556,300,19,0
1871,1867,0,0,4,0,0,1476,318,271,636,231,20,0
